link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
643,南河沿大街,2524,27,25,1,"LINESTRING (116.400414 39.906809, 116.400416 39.906864)",1,6.12,secondary,4,,,,auto,
644,南河沿大街,2524,25,27,1,"LINESTRING (116.400416 39.906864, 116.400414 39.906809)",1,6.12,secondary,4,,,,auto,
645,南河沿大街,2525,27,256,1,"LINESTRING (116.400414 39.906809, 116.400407 39.906607)",1,22.47,secondary,4,,,,auto,
646,南河沿大街,2525,256,27,1,"LINESTRING (116.400407 39.906607, 116.400414 39.906809)",1,22.47,secondary,4,,,,auto,
647,正义路,2528,176,257,1,"LINESTRING (116.400578 39.906282, 116.400556 39.90645)",1,18.77,tertiary,5,,,,auto,
648,正义路,2531,258,216,1,"LINESTRING (116.400266 39.906271, 116.400341 39.90536)",1,101.50,tertiary,5,,,,auto,
649,东长安街,2534,259,59,1,"LINESTRING (116.400019 39.9066, 116.397381 39.90653)",1,225.15,trunk,2,,5,,auto,
650,南长街,2628,141,139,1,"LINESTRING (116.385447 39.909798, 116.385485 39.909256)",1,60.35,tertiary,5,,,,auto,
651,南长街,2628,139,141,1,"LINESTRING (116.385485 39.909256, 116.385447 39.909798)",1,60.35,tertiary,5,,,,auto,
652,南长街,2629,141,210,1,"LINESTRING (116.385447 39.909798, 116.385474 39.910118)",1,35.66,tertiary,5,,,,auto,
653,南长街,2629,210,141,1,"LINESTRING (116.385474 39.910118, 116.385447 39.909798)",1,35.66,tertiary,5,,,,auto,
654,西交民巷,2677,104,215,1,"LINESTRING (116.388681 39.900484, 116.389491 39.900516)",1,69.19,tertiary,5,,,,auto,
655,人大会堂西路,2695,78,76,1,"LINESTRING (116.385453 39.900329, 116.385443 39.900399)",1,7.83,tertiary,5,,,,auto,
656,人大会堂西路,2695,76,78,1,"LINESTRING (116.385443 39.900399, 116.385453 39.900329)",1,7.83,tertiary,5,,,,auto,
657,骑河楼南巷,2732,88,82,1,"LINESTRING (116.397332 39.914301, 116.397351 39.914282)",1,2.66,residential,6,,,,auto,
658,骑河楼南巷,2732,82,88,1,"LINESTRING (116.397351 39.914282, 116.397332 39.914301)",1,2.66,residential,6,,,,auto,
659,骑河楼南巷,2733,88,87,1,"LINESTRING (116.397332 39.914301, 116.39731 39.914408)",1,12.04,residential,6,,,,auto,
660,骑河楼南巷,2733,87,88,1,"LINESTRING (116.39731 39.914408, 116.397332 39.914301)",1,12.04,residential,6,,,,auto,
661,骑河楼南巷,2734,82,37,1,"LINESTRING (116.397351 39.914282, 116.397381 39.913798)",1,53.88,residential,6,,,,auto,
662,骑河楼南巷,2734,37,82,1,"LINESTRING (116.397381 39.913798, 116.397351 39.914282)",1,53.88,residential,6,,,,auto,
663,骑河楼南巷,2735,82,88,1,"LINESTRING (116.397351 39.914282, 116.397332 39.914301)",1,2.66,residential,6,,,,auto,
664,骑河楼南巷,2735,88,82,1,"LINESTRING (116.397332 39.914301, 116.397351 39.914282)",1,2.66,residential,6,,,,auto,
665,,2736,118,120,1,"LINESTRING (116.399425 39.911201, 116.399372 39.911973)",1,85.96,residential,6,,,,auto,
666,,2736,120,118,1,"LINESTRING (116.399372 39.911973, 116.399425 39.911201)",1,85.96,residential,6,,,,auto,
667,,2737,118,117,1,"LINESTRING (116.399425 39.911201, 116.399432 39.910767)",1,48.26,residential,6,,,,auto,
668,,2737,117,118,1,"LINESTRING (116.399432 39.910767, 116.399425 39.911201)",1,48.26,residential,6,,,,auto,
669,,2738,128,119,1,"LINESTRING (116.398994 39.911202, 116.398998 39.910768)",1,48.26,residential,6,,,,auto,
670,,2738,119,128,1,"LINESTRING (116.398998 39.910768, 116.398994 39.911202)",1,48.26,residential,6,,,,auto,
