link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
63,东长安街,2026,43,7,1,"LINESTRING (116.39582 39.906477, 116.393616 39.906396)",1,188.21,trunk,2,,5,,auto,
64,东长安街,2027,38,30,1,"LINESTRING (116.395041 39.906185, 116.396658 39.906245)",1,138.09,trunk,2,,,,auto,
65,南长街,2028,12,9,1,"LINESTRING (116.385606 39.90731, 116.385618 39.906987)",1,35.93,tertiary,5,,,,auto,
66,南长街,2028,9,12,1,"LINESTRING (116.385618 39.906987, 116.385606 39.90731)",1,35.93,tertiary,5,,,,auto,
67,南长街,2029,12,26,1,"LINESTRING (116.385606 39.90731, 116.385582 39.907977)",1,74.20,tertiary,5,,,,auto,
68,南长街,2029,26,12,1,"LINESTRING (116.385582 39.907977, 116.385606 39.90731)",1,74.20,tertiary,5,,,,auto,
69,南长街,2030,26,12,1,"LINESTRING (116.385582 39.907977, 116.385606 39.90731)",1,74.20,tertiary,5,,,,auto,
70,南长街,2030,12,26,1,"LINESTRING (116.385606 39.90731, 116.385582 39.907977)",1,74.20,tertiary,5,,,,auto,
71,南长街,2031,26,25,1,"LINESTRING (116.385582 39.907977, 116.385577 39.908098)",1,13.46,tertiary,5,,,,auto,
72,南长街,2031,25,26,1,"LINESTRING (116.385577 39.908098, 116.385582 39.907977)",1,13.46,tertiary,5,,,,auto,
73,南长街,2072,24,36,1,"LINESTRING (116.385675 39.906473, 116.385676 39.906385)",1,9.79,tertiary,5,,,,auto,
74,南长街,2072,36,24,1,"LINESTRING (116.385676 39.906385, 116.385675 39.906473)",1,9.79,tertiary,5,,,,auto,
75,南长街,2073,24,13,1,"LINESTRING (116.385675 39.906473, 116.385675 39.90656)",1,9.67,tertiary,5,,,,auto,
76,南长街,2073,13,24,1,"LINESTRING (116.385675 39.90656, 116.385675 39.906473)",1,9.67,tertiary,5,,,,auto,
77,广场东侧路,2173,19,44,1,"LINESTRING (116.39321 39.903804, 116.393179 39.904372)",1,63.21,secondary,4,70,4,,auto,
78,,2174,45,27,1,"LINESTRING (116.3931 39.905836, 116.393097 39.905897)",1,6.79,secondary,4,,,,auto,
79,广场东侧路,2175,44,45,1,"LINESTRING (116.393179 39.904372, 116.3931 39.905836)",1,162.93,secondary,4,70,5,,auto,
