name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,317110875,,112.9508000,28.1994330,,,,,
,2,1955397166,,112.9560190,28.1992560,,,,,
,3,317110876,,112.9642190,28.1989220,,,,,
,4,12728065737,,112.9645030,28.1988670,,,,,
,5,7792259522,,112.9653760,28.1988840,,,,,
,6,317110920,,112.9754030,28.1985050,,,,,
,7,5302306906,,112.9754040,28.1984360,,,,,
,8,3925535840,,112.9755430,28.1985010,,,,,
,9,317566363,,112.8959200,28.1193170,,,,,
,10,317566364,,112.8953610,28.1196190,,,,,
,11,9590302278,,112.8946090,28.1200640,,,,,
,12,317566366,,112.8936510,28.1206120,,,,,
,13,9590302282,,112.8933470,28.1208030,,,,,
,14,9590302286,,112.8933480,28.1208570,,,,,
,15,317566367,,112.8914430,28.1223600,,,,,
,16,9590302291,,112.8910170,28.1227200,,,,,
,17,317566368,,112.8903040,28.1234340,,,,,
,18,9590302293,,112.8897640,28.1240440,,,,,
,19,317566369,,112.8891540,28.1248180,,,,,
,20,9590302296,,112.8889870,28.1250430,,,,,
,21,317566370,,112.8873360,28.1276950,,,,,
,22,1955691040,,112.8871330,28.1280680,,,,,
,23,338475027,,112.9407710,28.1425060,,,,,
,24,9455592104,,112.9425750,28.1424550,,,,,
,25,338475033,,112.9433120,28.1424210,,,,,
,26,9455592116,,112.9458260,28.1423600,,,,,
,27,338475047,,112.9546860,28.1421010,,,,,
,28,11060647547,,112.9555100,28.1420630,,,,,
,29,11060647535,,112.9552080,28.1420340,,,,,
,30,338475052,,112.9561360,28.1420300,,,,,
,31,338475059,,112.9570020,28.1420060,,,,,
,32,11060647541,,112.9578850,28.1419940,,,,,
,33,338475067,,112.9594030,28.1419970,,,,,
,34,11060647572,,112.9599730,28.1420000,,,,,
,35,338475072,,112.9602110,28.1420080,,,,,
,36,11060647573,,112.9604780,28.1420210,,,,,
,37,338475079,,112.9607460,28.1420480,,,,,
,38,11060647577,,112.9611050,28.1420960,,,,,
,39,338475084,,112.9618390,28.1422560,,,,,
,40,663692213,,112.9623060,28.1422950,,,,,
,41,338475089,,112.9619650,28.1422860,,,,,
,42,338475096,,112.9622170,28.1423610,,,,,
,43,338475101,,112.9624820,28.1424580,,,,,
,44,11060647581,,112.9627700,28.1425800,,,,,
,45,338475113,,112.9648820,28.1437030,,,,,
,46,338475117,,112.9651910,28.1438590,,,,,
,47,338475121,,112.9655240,28.1439970,,,,,
,48,338475126,,112.9658760,28.1441210,,,,,
,49,11060647606,,112.9661610,28.1442040,,,,,
,50,338475134,,112.9664530,28.1442710,,,,,
,51,11060647605,,112.9667540,28.1443240,,,,,
,52,338475139,,112.9669990,28.1443520,,,,,
,53,11060647604,,112.9672700,28.1443700,,,,,
,54,338475145,,112.9675570,28.1443790,,,,,
,55,338475148,,112.9679250,28.1443710,,,,,
,56,11060647603,,112.9685520,28.1443550,,,,,
,57,338475151,,112.9697530,28.1443340,,,,,
,58,11060647601,,112.9700580,28.1443530,,,,,
,59,338475160,,112.9704250,28.1443890,,,,,
,60,338475163,,112.9706930,28.1444270,,,,,
,61,11060647646,,112.9710510,28.1445010,,,,,
,62,338475167,,112.9713180,28.1445680,,,,,
,63,11060647648,,112.9715690,28.1446420,,,,,
,64,338475179,,112.9721620,28.1448550,,,,,
,65,11060647650,,112.9727620,28.1450860,,,,,
,66,338475182,,112.9747820,28.1458800,,,,,
,67,11060647662,,112.9755350,28.1461760,,,,,
,68,338475198,,112.9762390,28.1464320,,,,,
,69,338475208,,112.9767920,28.1466180,,,,,
,70,11060647664,,112.9774360,28.1468080,,,,,
,71,338475212,,112.9779450,28.1469280,,,,,
,72,11060647666,,112.9784900,28.1470580,,,,,
,73,11060647665,,112.9784100,28.1469960,,,,,
,74,338475216,,112.9789240,28.1471570,,,,,
,75,11060647671,,112.9793770,28.1472550,,,,,
,76,338475220,,112.9798550,28.1473760,,,,,
,77,4035101952,,112.9801440,28.1474700,,,,,
,78,338475225,,112.9805000,28.1475780,,,,,
,79,11060647672,,112.9809210,28.1477270,,,,,
,80,338475230,,112.9811660,28.1478200,,,,,
,81,4035101953,,112.9813710,28.1478970,,,,,
,82,338475235,,112.9818960,28.1481060,,,,,
,83,5338284939,,112.9822240,28.1482660,,,,,
,84,338493949,,112.9824370,28.1485440,,,,,
,85,11060647759,,112.9822030,28.1484220,,,,,
,86,338493951,,112.9817390,28.1482060,,,,,
,87,5338284955,,112.9814670,28.1480840,,,,,
,88,338493952,,112.9810460,28.1479280,,,,,
,89,11060647712,,112.9808780,28.1478670,,,,,
,90,338493953,,112.9804760,28.1477280,,,,,
,91,11060647757,,112.9803880,28.1477180,,,,,
,92,5338284946,,112.9801380,28.1476110,,,,,
,93,338493956,,112.9786360,28.1472500,,,,,
,94,338493963,,112.9779520,28.1470730,,,,,
,95,338493964,,112.9773350,28.1469060,,,,,
,96,11060647710,,112.9768930,28.1467820,,,,,
,97,338493966,,112.9763480,28.1466120,,,,,
,98,338493967,,112.9757710,28.1464010,,,,,
,99,11060647709,,112.9752630,28.1461940,,,,,
,100,338493968,,112.9746260,28.1459440,,,,,
,101,663692316,,112.9737100,28.1455820,,,,,
,102,338493971,,112.9718900,28.1448710,,,,,
,103,338493974,,112.9714930,28.1447330,,,,,
,104,11060647689,,112.9711420,28.1446360,,,,,
,105,338493976,,112.9703310,28.1444890,,,,,
,106,338493977,,112.9699290,28.1444580,,,,,
,107,11060647600,,112.9697020,28.1444500,,,,,
,108,338493981,,112.9693680,28.1444520,,,,,
,109,11060647599,,112.9685390,28.1444690,,,,,
,110,338494017,,112.9678380,28.1444850,,,,,
,111,338494018,,112.9673350,28.1444840,,,,,
,112,338494019,,112.9669360,28.1444570,,,,,
,113,338494020,,112.9666190,28.1444140,,,,,
,114,338494024,,112.9662740,28.1443430,,,,,
,115,11060647598,,112.9659120,28.1442540,,,,,
,116,338494028,,112.9654200,28.1440750,,,,,
,117,338494029,,112.9650810,28.1439310,,,,,
,118,338494030,,112.9646690,28.1437160,,,,,
,119,11060647597,,112.9641290,28.1434190,,,,,
,120,338494031,,112.9624220,28.1425540,,,,,
,121,338494033,,112.9620920,28.1424430,,,,,
,122,338494034,,112.9617540,28.1423440,,,,,
,123,11060647578,,112.9614800,28.1422760,,,,,
,124,338494035,,112.9611980,28.1422170,,,,,
,125,11060647579,,112.9609220,28.1421780,,,,,
,126,338494036,,112.9606640,28.1421450,,,,,
,127,338494037,,112.9603610,28.1421160,,,,,
,128,11060647571,,112.9600320,28.1421040,,,,,
,129,338494038,,112.9594530,28.1421080,,,,,
,130,3925863113,,112.9588640,28.1421220,,,,,
,131,338494039,,112.9572140,28.1421540,,,,,
,132,338494040,,112.9559340,28.1421750,,,,,
,133,338494041,,112.9546820,28.1422060,,,,,
,134,9455600417,,112.9458300,28.1424580,,,,,
,135,338494043,,112.9433080,28.1425300,,,,,
,136,9455600424,,112.9429100,28.1425910,,,,,
,137,9455592105,,112.9422000,28.1425700,,,,,
,138,338494047,,112.9407720,28.1426140,,,,,
,139,4532966482,,112.9384010,28.1426890,,,,,
,140,338494048,,112.9427600,28.1426420,,,,,
,141,338494049,,112.9426490,28.1427380,,,,,
,142,338494050,,112.9425980,28.1428410,,,,,
,143,9455600418,,112.9425840,28.1429360,,,,,
,144,338494051,,112.9425960,28.1430400,,,,,
,145,9455600419,,112.9426300,28.1431210,,,,,
,146,338494052,,112.9427100,28.1432140,,,,,
,147,338494053,,112.9428190,28.1432880,,,,,
,148,9455600420,,112.9429240,28.1433490,,,,,
,149,338494055,,112.9426500,28.1423070,,,,,
,150,9455592115,,112.9427280,28.1423600,,,,,
,151,338494056,,112.9425980,28.1422560,,,,,
,152,338494057,,112.9425270,28.1420900,,,,,
,153,9455592111,,112.9425600,28.1421850,,,,,
,154,338494058,,112.9425180,28.1420110,,,,,
,155,338494065,,112.9425420,28.1418970,,,,,
,156,338494066,,112.9426130,28.1417800,,,,,
,157,338494067,,112.9427520,28.1416730,,,,,
,158,338494068,,112.9446690,28.1406390,,,,,
,159,4532965837,,112.9449960,28.1404820,,,,,
,160,460295273,,112.8973820,28.1457930,,,,,
,161,9485428627,,112.9000540,28.1456160,,,,,
,162,460295275,,112.9013900,28.1455280,,,,,
,163,6152876798,,112.9014740,28.1455240,,,,,
,164,460295277,,112.9055430,28.1453620,,,,,
,165,4982759838,,112.9057930,28.1453520,,,,,
,166,460295279,,112.9079820,28.1452210,,,,,
,167,460295281,,112.9095040,28.1451140,,,,,
,168,9485428519,,112.9099230,28.1450770,,,,,
,169,460295283,,112.9114320,28.1448770,,,,,
,170,9485428428,,112.9119090,28.1448010,,,,,
,171,460295285,,112.9123760,28.1447260,,,,,
,172,9485427614,,112.9129750,28.1446310,,,,,
,173,460295287,,112.9201850,28.1435260,,,,,
,174,9485427600,,112.9206490,28.1434430,,,,,
,175,460295289,,112.9219670,28.1432100,,,,,
,176,9485427595,,112.9223670,28.1431420,,,,,
,177,9485427596,,112.9222500,28.1431400,,,,,
,178,460295291,,112.9230810,28.1430320,,,,,
,179,9448530332,,112.9233480,28.1430110,,,,,
,180,460295296,,112.9294380,28.1428410,,,,,
,181,9448563650,,112.9298370,28.1428250,,,,,
,182,460295298,,112.9340540,28.1427080,,,,,
,183,460295300,,112.9357350,28.1426520,,,,,
,184,4532966484,,112.9382460,28.1425900,,,,,
,185,460295712,,112.9328140,28.1428680,,,,,
,186,632800115,,112.9308330,28.1429130,,,,,
,187,460295718,,112.9291650,28.1429700,,,,,
,188,3368278230,,112.9275230,28.1430060,,,,,
,189,460295724,,112.9241040,28.1431020,,,,,
,190,460295726,,112.9237140,28.1431170,,,,,
,191,9448530284,,112.9234180,28.1431260,,,,,
,192,460295728,,112.9202070,28.1436420,,,,,
,193,9485427591,,112.9197040,28.1437170,,,,,
,194,460295731,,112.9124230,28.1448650,,,,,
,195,460295733,,112.9115240,28.1450000,,,,,
,196,9485427569,,112.9106370,28.1451100,,,,,
,197,9485427567,,112.9108760,28.1451750,,,,,
,198,460295736,,112.9095170,28.1452180,,,,,
,199,460295738,,112.9079910,28.1453270,,,,,
,200,9485427559,,112.9072340,28.1453780,,,,,
,201,460295751,,112.9045510,28.1455980,,,,,
,202,7877584260,,112.9015240,28.1456300,,,,,
,203,460295755,,112.9013980,28.1456360,,,,,
,204,4935554048,,112.9001270,28.1457200,,,,,
,205,460295757,,112.8973910,28.1459010,,,,,
,206,9455258916,,112.8969760,28.1459230,,,,,
,207,9448563652,,112.9298320,28.1429450,,,,,
,208,9448530225,,112.9298300,28.1430080,,,,,
,209,632800123,,112.9265120,28.1462980,,,,,
,210,9448530242,,112.9264970,28.1467740,,,,,
,211,632800127,,112.9262720,28.1422900,,,,,
,212,9448530281,,112.9262970,28.1419790,,,,,
,213,632800139,,112.9262780,28.1471190,,,,,
,214,9448530255,,112.9262010,28.1459640,,,,,
,215,9448530257,,112.9262820,28.1459620,,,,,
,216,632800142,,112.9262720,28.1441290,,,,,
,217,3368278259,,112.9262800,28.1434860,,,,,
,218,632800143,,112.9263200,28.1417140,,,,,
,219,3368278212,,112.9263580,28.1414600,,,,,
,220,632800146,,112.9264080,28.1424480,,,,,
,221,3368278229,,112.9264110,28.1435640,,,,,
,222,632800148,,112.9264560,28.1564500,,,,,
