link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
546,新四线,308,38,42,1,"LINESTRING (119.892415 42.280506, 119.891489 42.280565)",1,76.46,tertiary,5,,,,auto,
547,新四线,309,42,146,1,"LINESTRING (119.891489 42.280565, 119.890721 42.280614)",1,63.42,tertiary,5,,,,auto,
548,新四线,309,146,42,1,"LINESTRING (119.890721 42.280614, 119.891489 42.280565)",1,63.42,tertiary,5,,,,auto,
549,,310,42,145,1,"LINESTRING (119.891489 42.280565, 119.891436 42.280462)",1,12.25,unclassified,20,,,,auto,
550,,310,145,42,1,"LINESTRING (119.891436 42.280462, 119.891489 42.280565)",1,12.25,unclassified,20,,,,auto,
551,,311,140,139,1,"LINESTRING (119.892493 42.277039, 119.892286 42.276231)",1,91.45,unclassified,20,,,,auto,
552,,311,139,140,1,"LINESTRING (119.892286 42.276231, 119.892493 42.277039)",1,91.45,unclassified,20,,,,auto,
553,,312,140,141,1,"LINESTRING (119.892493 42.277039, 119.892503 42.277178)",1,15.48,unclassified,20,,,,auto,
554,,312,141,140,1,"LINESTRING (119.892503 42.277178, 119.892493 42.277039)",1,15.48,unclassified,20,,,,auto,
555,,313,140,147,1,"LINESTRING (119.892493 42.277039, 119.892002 42.277108)",1,41.12,residential,6,,,,auto,
556,,313,147,140,1,"LINESTRING (119.892002 42.277108, 119.892493 42.277039)",1,41.12,residential,6,,,,auto,
557,,314,147,140,1,"LINESTRING (119.892002 42.277108, 119.892493 42.277039)",1,41.12,residential,6,,,,auto,
558,,314,140,147,1,"LINESTRING (119.892493 42.277039, 119.892002 42.277108)",1,41.12,residential,6,,,,auto,
559,,315,147,148,1,"LINESTRING (119.892002 42.277108, 119.891935 42.277156)",1,7.67,residential,6,,,,auto,
560,,315,148,147,1,"LINESTRING (119.891935 42.277156, 119.892002 42.277108)",1,7.67,residential,6,,,,auto,
561,,316,148,147,1,"LINESTRING (119.891935 42.277156, 119.892002 42.277108)",1,7.67,residential,6,,,,auto,
562,,316,147,148,1,"LINESTRING (119.892002 42.277108, 119.891935 42.277156)",1,7.67,residential,6,,,,auto,
563,,317,148,149,1,"LINESTRING (119.891935 42.277156, 119.891404 42.278752)",1,182.77,residential,6,,,,auto,
564,,317,149,148,1,"LINESTRING (119.891404 42.278752, 119.891935 42.277156)",1,182.77,residential,6,,,,auto,
565,,318,149,148,1,"LINESTRING (119.891404 42.278752, 119.891935 42.277156)",1,182.77,residential,6,,,,auto,
566,,318,148,149,1,"LINESTRING (119.891935 42.277156, 119.891404 42.278752)",1,182.77,residential,6,,,,auto,
567,,319,149,77,1,"LINESTRING (119.891404 42.278752, 119.891334 42.278833)",1,10.69,residential,6,,,,auto,
