link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
170,南池子大街,462,50,10,1,"LINESTRING (116.397086 39.906728, 116.397096 39.906522)",1,22.92,tertiary,5,,,,auto,
171,南池子大街,462,10,50,1,"LINESTRING (116.397096 39.906522, 116.397086 39.906728)",1,22.92,tertiary,5,,,,auto,
172,南河沿大街,600,14,13,1,"LINESTRING (116.400449 39.907491, 116.400504 39.908211)",1,80.20,secondary,4,,,,auto,
173,南河沿大街,600,13,14,1,"LINESTRING (116.400504 39.908211, 116.400449 39.907491)",1,80.20,secondary,4,,,,auto,
174,南河沿大街,601,14,2,1,"LINESTRING (116.400449 39.907491, 116.40043 39.907258)",1,25.96,secondary,4,,,,auto,
175,南河沿大街,601,2,14,1,"LINESTRING (116.40043 39.907258, 116.400449 39.907491)",1,25.96,secondary,4,,,,auto,
176,南池子大街,611,39,38,1,"LINESTRING (116.397048 39.907395, 116.397039 39.907574)",1,19.92,tertiary,5,,1,,auto,
177,南池子大街,611,38,39,1,"LINESTRING (116.397039 39.907574, 116.397048 39.907395)",1,19.92,tertiary,5,,1,,auto,
178,南池子大街,612,39,47,1,"LINESTRING (116.397048 39.907395, 116.397051 39.907336)",1,6.57,tertiary,5,,1,,auto,
179,南池子大街,612,47,39,1,"LINESTRING (116.397051 39.907336, 116.397048 39.907395)",1,6.57,tertiary,5,,1,,auto,
180,南池子大街,631,36,22,1,"LINESTRING (116.397023 39.907899, 116.397014 39.90807)",1,19.03,tertiary,5,,1,,auto,
181,南池子大街,631,22,36,1,"LINESTRING (116.397014 39.90807, 116.397023 39.907899)",1,19.03,tertiary,5,,1,,auto,
182,南池子大街,632,36,38,1,"LINESTRING (116.397023 39.907899, 116.397039 39.907574)",1,36.16,tertiary,5,,1,,auto,
183,南池子大街,632,38,36,1,"LINESTRING (116.397039 39.907574, 116.397023 39.907899)",1,36.16,tertiary,5,,1,,auto,
184,东长安街,676,10,56,1,"LINESTRING (116.397096 39.906522, 116.396605 39.906504)",1,41.93,trunk,2,,5,,auto,
185,南池子大街,677,10,50,1,"LINESTRING (116.397096 39.906522, 116.397086 39.906728)",1,22.92,tertiary,5,,,,auto,
186,南池子大街,677,50,10,1,"LINESTRING (116.397086 39.906728, 116.397096 39.906522)",1,22.92,tertiary,5,,,,auto,
187,南河沿大街,679,41,43,1,"LINESTRING (116.400558 39.90982, 116.400567 39.910184)",1,40.48,secondary,4,,,,auto,
188,南河沿大街,679,43,41,1,"LINESTRING (116.400567 39.910184, 116.400558 39.90982)",1,40.48,secondary,4,,,,auto,
189,南河沿大街,680,41,40,1,"LINESTRING (116.400558 39.90982, 116.400568 39.90963)",1,21.14,secondary,4,,,,auto,
190,南河沿大街,680,40,41,1,"LINESTRING (116.400568 39.90963, 116.400558 39.90982)",1,21.14,secondary,4,,,,auto,
191,南河沿大街,708,5,4,1,"LINESTRING (116.400577 39.910729, 116.400542 39.911615)",1,98.56,secondary,4,,,,auto,
192,南河沿大街,708,4,5,1,"LINESTRING (116.400542 39.911615, 116.400577 39.910729)",1,98.56,secondary,4,,,,auto,
193,南河沿大街,709,5,6,1,"LINESTRING (116.400577 39.910729, 116.400572 39.910653)",1,8.46,secondary,4,,,,auto,
194,南河沿大街,709,6,5,1,"LINESTRING (116.400572 39.910653, 116.400577 39.910729)",1,8.46,secondary,4,,,,auto,
195,东皇城门南街,710,7,57,1,"LINESTRING (116.400708 39.910656, 116.400956 39.910666)",1,21.18,unclassified,20,,,,auto,
196,东长安街,733,56,58,1,"LINESTRING (116.396605 39.906504, 116.396126 39.906492)",1,40.88,trunk,2,,5,,auto,
197,东长安街,734,59,53,1,"LINESTRING (116.400714 39.90662, 116.400407 39.906607)",1,26.23,trunk,2,,,,auto,
198,南河沿大街,735,53,3,1,"LINESTRING (116.400407 39.906607, 116.400414 39.906809)",1,22.47,secondary,4,,,,auto,
199,南河沿大街,735,3,53,1,"LINESTRING (116.400414 39.906809, 116.400407 39.906607)",1,22.47,secondary,4,,,,auto,
200,东长安街,736,53,54,1,"LINESTRING (116.400407 39.906607, 116.400019 39.9066)",1,33.10,trunk,2,,5,,auto,
201,南河沿大街,737,42,40,1,"LINESTRING (116.40056 39.909417, 116.400568 39.90963)",1,23.69,secondary,4,,,,auto,
202,南河沿大街,737,40,42,1,"LINESTRING (116.400568 39.90963, 116.40056 39.909417)",1,23.69,secondary,4,,,,auto,
203,南河沿大街,738,42,51,1,"LINESTRING (116.40056 39.909417, 116.400551 39.90918)",1,26.36,secondary,4,,,,auto,
204,南河沿大街,738,51,42,1,"LINESTRING (116.400551 39.90918, 116.40056 39.909417)",1,26.36,secondary,4,,,,auto,
205,南河沿大街,739,12,51,1,"LINESTRING (116.400515 39.908523, 116.400551 39.90918)",1,73.12,secondary,4,,,,auto,
206,南河沿大街,739,51,12,1,"LINESTRING (116.400551 39.90918, 116.400515 39.908523)",1,73.12,secondary,4,,,,auto,
207,南河沿大街,740,12,11,1,"LINESTRING (116.400515 39.908523, 116.400507 39.908388)",1,15.03,secondary,4,,,,auto,
208,南河沿大街,740,11,12,1,"LINESTRING (116.400507 39.908388, 116.400515 39.908523)",1,15.03,secondary,4,,,,auto,
209,南池子大街,752,49,55,1,"LINESTRING (116.397081 39.906803, 116.397074 39.906895)",1,10.25,tertiary,5,,,,auto,
210,南池子大街,752,55,49,1,"LINESTRING (116.397074 39.906895, 116.397081 39.906803)",1,10.25,tertiary,5,,,,auto,
211,南池子大街,753,49,48,1,"LINESTRING (116.397081 39.906803, 116.397084 39.906772)",1,3.46,tertiary,5,,,,auto,
212,南池子大街,753,48,49,1,"LINESTRING (116.397084 39.906772, 116.397081 39.906803)",1,3.46,tertiary,5,,,,auto,
