link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1125,,3700,310,418,1,"LINESTRING (116.403949 39.907935, 116.403944 39.908011)",1,8.46,residential,6,,,,auto,
1126,,3700,418,310,1,"LINESTRING (116.403944 39.908011, 116.403949 39.907935)",1,8.46,residential,6,,,,auto,
1127,,3701,418,310,1,"LINESTRING (116.403944 39.908011, 116.403949 39.907935)",1,8.46,residential,6,,,,auto,
1128,,3701,310,418,1,"LINESTRING (116.403949 39.907935, 116.403944 39.908011)",1,8.46,residential,6,,,,auto,
1129,,3702,418,417,1,"LINESTRING (116.403944 39.908011, 116.403908 39.90894)",1,103.35,residential,6,,,,auto,
1130,,3702,417,418,1,"LINESTRING (116.403908 39.90894, 116.403944 39.908011)",1,103.35,residential,6,,,,auto,
1131,大纱帽胡同,3703,268,245,1,"LINESTRING (116.403902 39.909135, 116.402752 39.909188)",1,98.26,residential,6,,,,auto,
1132,大纱帽胡同,3703,245,268,1,"LINESTRING (116.402752 39.909188, 116.403902 39.909135)",1,98.26,residential,6,,,,auto,
1133,大纱帽胡同,3704,268,267,1,"LINESTRING (116.403902 39.909135, 116.404127 39.909114)",1,19.33,residential,6,,,,auto,
1134,大纱帽胡同,3704,267,268,1,"LINESTRING (116.404127 39.909114, 116.403902 39.909135)",1,19.33,residential,6,,,,auto,
1135,,3705,268,417,1,"LINESTRING (116.403902 39.909135, 116.403908 39.90894)",1,21.69,residential,6,,,,auto,
1136,,3705,417,268,1,"LINESTRING (116.403908 39.90894, 116.403902 39.909135)",1,21.69,residential,6,,,,auto,
1137,,3706,246,163,1,"LINESTRING (116.402627 39.90902, 116.402664 39.907916)",1,122.80,residential,6,,,,auto,
1138,,3706,163,246,1,"LINESTRING (116.402664 39.907916, 116.402627 39.90902)",1,122.80,residential,6,,,,auto,
1139,,3707,246,244,1,"LINESTRING (116.402627 39.90902, 116.402621 39.909194)",1,19.35,residential,6,,,,auto,
1140,,3707,244,246,1,"LINESTRING (116.402621 39.909194, 116.402627 39.90902)",1,19.35,residential,6,,,,auto,
1141,南池子大街,4436,330,328,1,"LINESTRING (116.397071 39.906928, 116.397066 39.907018)",1,10.02,tertiary,5,,1,,auto,
1142,南池子大街,4436,328,330,1,"LINESTRING (116.397066 39.907018, 116.397071 39.906928)",1,10.02,tertiary,5,,1,,auto,
1143,南池子大街,4437,330,419,1,"LINESTRING (116.397071 39.906928, 116.397074 39.906895)",1,3.68,tertiary,5,,,,auto,
1144,南池子大街,4437,419,330,1,"LINESTRING (116.397074 39.906895, 116.397071 39.906928)",1,3.68,tertiary,5,,,,auto,
1145,南池子大街,4438,419,330,1,"LINESTRING (116.397074 39.906895, 116.397071 39.906928)",1,3.68,tertiary,5,,,,auto,
